ID,UUID, LocationTitle,AddressLine1,AddressLine2,Town,StateOrProvince,Postcode,Country,Latitude,Longitude,Distance,DistanceUnit,Addr_ContactTelephone1,Addr_ContactTelephone2,Addr_ContactEmail,Addr_AccessComments,Addr_GeneralComments,Addr_RelatedURL,ConnectionType,ChargerType,UsageType,NumberOfPoints,GeneralComments,DateLastConfirmed,StatusType,DateLastStatusUpdate,DateCreated
106514,B194D44A-B669-412A-ACDE-9116FFDD25DF,"Hotels Van Oranje","Koningin Wilhelmina Boulevard 20",,"Noordwijk aan Zee",,"2202 GV","Netherlands",52.247115,4.432682,,0,"+31 71 36 86 869",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Public - Membership Required",2,"2 Tesla Connectors, up to 11kW.Available for customers. Please see valet.",,"Operational",6/23/2018 5:41:00 AM,6/23/2018 5:41:00 AM
106202,C5FE0309-6E1F-4377-B3A0-9B2BFA104CD7,"Hotel Nimma Nijmegen","Weurtseweg 478",,"Nijmegen",,"6541 BE","Netherlands",51.854285,5.837113,,0,"+31 24 84 44 007",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Public - Membership Required",1,"1 Tesla Connector, up to 11kW.Available for customers. Please see front desk.",,"Operational",6/17/2018 5:32:00 AM,6/17/2018 5:32:00 AM
104994,63F81F60-5739-4254-97AA-E24A20CF186E,"Breukelen Supercharger","91 Stationsweg",,"Breukelen",,"3621 LK","Netherlands",52.167178,4.989068,,0,,,,,,,"Tesla Supercharger;",,"Public - Membership Required",28,"28 Superchargers, available 24/7, up to 120kW",,"Operational",5/27/2018 5:29:00 AM,5/27/2018 5:29:00 AM
104903,EBF56D26-B41A-4A97-8369-057AF91DE2CB,"Blue & Manna Hotels","Oranjesingel 14",,"Nijmegen",,"6511 NT","Netherlands",51.842314,5.862685,,0,"+31 24 74 40 094",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Public - Notice Required",2,"2 Tesla Connectors, up to 7kW.Available by reservation only. Please see front desk.",,"Operational",5/26/2018 5:30:00 AM,5/26/2018 5:30:00 AM
104478,D8A3D2B4-CDD3-4ADA-9693-1324AF39835D,"Qo Amsterdam","Amstelvlietstraat 2D",,"Amsterdam",,"1096 GG","Netherlands",52.338392,4.920993,,0,"+31 (0) 20 22 05 650",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Public - Membership Required",2,"2 Tesla Connectors, up to 11kW.Available to the public. Self park.",,"Operational",5/20/2018 5:43:00 AM,5/20/2018 5:43:00 AM
104466,AA35BDCB-8343-4FDD-A663-FF0E7C067C8F,"Evenementenhal Gorinchem","Franklinweg 2",,"Gorinchem",,"4207 HZ","Netherlands",51.839649,5.009054,,0,"+31 18 36 80 680",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Public - Membership Required",3,"3 Tesla Connectors, up to 22kW.Available for customers. Self park.",,"Operational",5/20/2018 5:41:00 AM,5/20/2018 5:41:00 AM
104451,5B2CFC21-F7F1-48F1-A39C-57DECA6E3911,"Herberg de Klomp","Vilsterseweg 10",,"Vilsteren",,"7734PD","Netherlands",51.526088,5.96915,,0,"+31 52 94 59 000",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Public - Membership Required",1,"1 Tesla Connector, up to 22kW.Available for customers. Please see front desk.",,"Operational",5/20/2018 5:38:00 AM,5/20/2018 5:38:00 AM
104402,CF2FA7CD-E27C-4656-A169-34C80150762D,"Evenementenhal Hardenberg","Energieweg 2",,"Hardenberg",,"7772 TV","Netherlands",52.558383,6.626275,,0,"+31 52 32 89 898",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Public - Membership Required",1,"1 Tesla Connector, up to 22kW.Available for customers. Self park.",,"Operational",5/20/2018 5:30:00 AM,5/20/2018 5:30:00 AM
104403,0CC7A592-7C48-4E4D-9F6A-D382E4D60CE7,"Harlingen Garden Apartment","Harlingersstraatweg 52a",,"Midlum",,"8872NB","Netherlands",53.182109,5.434368,,0,"+31610951274",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Public - Membership Required",1,"1 Tesla Connector, up to 11kW.Available for customers. Please see front desk.",,"Operational",5/20/2018 5:30:00 AM,5/20/2018 5:30:00 AM
104406,19BB833A-4FF1-47FC-B703-696C3F35C574,"Hotel - Restaurant - Brasserie 'T Paviljoen","Grebbeweg 103-105",,"Rhenen",,"3911AV","Netherlands",51.955958,5.58951,,0,"+31 31 76 19 003",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Public - Membership Required",1,"1 Tesla Connector, up to 7kW.Available for customers. Self park.",,"Operational",5/20/2018 5:30:00 AM,5/20/2018 5:30:00 AM
104391,AF9174E9-A492-4177-B829-3C24808ECD0B,"Hotel Beaumont","Lage Barakken 10",,"Maastricht",,"6221 CJ","Netherlands",50.849842,5.700734,,0,"+31 43 32 54 433",,,,,,"Mennekes (Type 2, Tethered Connector) ;",,"Public - Membership Required",3,"3 Tesla Connectors, up to 22kW.Available for customers. Please see front desk.",,"Operational",5/20/2018 5:28:00 AM,5/20/2018 5:28:00 AM
